GOOG,google,Google Inc.,4/28/2017,up,BUY OR HOLD!
YHOO,yahoo,Yahoo Inc.,4/28/2017,up,BUY OR HOLD!
FB,facebook,Facebook Inc.,4/28/2017,up,BUY OR HOLD!
TWTR,twitter,Cisco_System Inc.,4/28/2017,down,SELL!
MSFT,microsoft,Intel Corporation,4/28/2017,up,BUY OR HOLD!
AAPL,apple,Micron Technology,4/28/2017,up,BUY OR HOLD!
TSLA,tesla,Oracle Corporation,4/28/2017,up,BUY OR HOLD!
NVDA,nvidia,Twitter Inc. Com,4/28/2017,up,BUY OR HOLD!
AMD,amd,NVDIA Corporation,4/28/2017,up,BUY OR HOLD!
INTC,intel,Microsoft Corporation,4/28/2017,up,BUY OR HOLD!
