GOOG,google,Google Inc.,4/28/2017,up,BUY OR HOLD!,,
YHOO,yahoo,Yahoo Inc.,4/28/2017,up,BUY OR HOLD!,,
FB,facebook,Facebook Inc.,4/28/2017,up,BUY OR HOLD!,,
TWTR,twitter,"Twitter, Inc. Com",4/28/2017,down,SELL!,,
MSFT,microsoft,Microsoft Corpora,4/28/2017,up,BUY OR HOLD!,,
AAPL,apple,Apple Inc.,4/28/2017,up,BUY OR HOLD!,,
TSLA,tesla,"Tesla, Inc",4/28/2017,up,BUY OR HOLD!,,
NVDA,nvidia,NVIDIA Corporation,4/28/2017,up,BUY OR HOLD!,,
AMD,amd,"Advanced Micro Devices, Inc.",4/28/2017,up,BUY OR HOLD!,,
INTC,intel,Intel Corporation,4/28/2017,up,BUY OR HOLD!,,
,,,,,,,
,,,,,,,
